out_acc_num,out_currency_amount,net_worth,credit_score,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international,label
92,32749,0.6763,8,0.3371,0.9719,0.3263,0.7386,false
93,22420,0.3712,5,0.3225,0.828,0.6117,0.6768,true
94,24605,0.6067,5,0.7529,0.7314,0.6753,0.6546,true
95,21169,0.6991,8,0.9582,0.6985,0.5677,0.122,false
96,29176,0.2557,2,0.0649,0.1042,0.3627,0.6964,false
97,36774,0.5242,10,0.8089,0.2499,0.8231,0.1301,false
98,20173,0.7866,4,0.5159,0.2554,0.2769,0.8337,false
99,36046,0.6694,6,0.3588,0.3057,0.3499,0.9772,true
100,23784,0.7566,4,0.4139,0.1013,0.3679,0.5127,false
101,24514,0.4875,9,0.3409,0.0424,0.8653,0.7592,true
102,25153,0.9713,4,0.4625,0.2664,0.9259,0.989,true
103,35156,0.2423,8,0.8756,0.7034,0.8495,0.1756,true
104,24966,0.9888,9,0.6957,0.3789,0.1726,0.3559,true
105,31044,0.7829,5,0.2632,0.7348,0.802,0.9538,true
106,26852,0.2174,6,0.0623,0.7112,0.6491,0.0376,false
107,19991,0.5701,8,0.0446,0.1684,0.6807,0.8467,false
108,39682,0.8576,2,0.6838,0.5378,0.2524,0.1404,false
109,24393,0.6812,3,0.4794,0.6411,0.2559,0.5597,true
110,29214,0.7943,10,0.3459,0.6494,0.1346,0.274,false
111,35667,0.1688,3,0.1643,0.7925,0.1637,0.7267,false
112,12397,0.2028,2,0.8699,0.3135,0.8145,0.7786,true
113,23094,0.4425,3,0.8358,0.9299,0.8864,0.4172,false
114,34347,0.6497,6,0.3074,0.7848,0.9071,0.295,true
115,10828,0.1529,6,0.3961,0.5516,0.5584,0.7072,true
116,39146,0.9192,1,0.458,0.1058,0.4526,0.1689,true
117,39639,0.6229,4,0.1716,0.4403,0.6955,0.1674,false
118,22508,0.2827,7,0.3459,0.4186,0.9265,0.6045,false
119,36257,0.2401,1,0.4237,0.9587,0.6716,0.7832,false
120,16334,0.2102,4,0.9459,0.4482,0.3827,0.5129,true
121,28427,0.6271,1,0.3233,0.1269,0.4735,0.3982,false
122,35300,0.5436,9,0.3784,0.4107,0.188,0.8954,true
123,28271,0.6651,4,0.1824,0.5163,0.6514,0.5498,true
124,20196,0.0762,8,0.6927,0.1894,0.443,0.643,false
125,28799,0.2167,5,0.6438,0.5518,0.9708,0.4809,true
126,22073,0.6042,3,0.7267,0.579,0.8658,0.5055,true
127,27230,0.9938,4,0.1142,0.2493,0.6032,0.4267,true
128,15148,0.9601,3,0.1076,0.3197,0.2861,0.031,false
129,29815,0.0423,8,0.6474,0.8757,0.7345,0.5432,true
130,27524,0.8451,9,0.8143,0.8762,0.9288,0.3647,true
131,13355,0.8905,8,0.1289,0.6096,0.7641,0.7722,false
132,39151,0.5062,10,0.706,0.5593,0.2791,0.9415,true
133,32913,0.5973,1,0.2473,0.3561,0.0322,0.3136,true
134,16930,0.4407,6,0.0506,0.6905,0.5299,0.4303,true
135,26556,0.7514,4,0.3233,0.9708,0.1574,0.0816,true
136,19550,0.7613,1,0.2324,0.134,0.5817,0.5272,false
137,39082,0.0348,2,0.5161,0.9176,0.1423,0.7556,false
138,35714,0.6086,8,0.2297,0.6289,0.8615,0.8241,false
139,20440,0.0922,5,0.7553,0.2084,0.8761,0.7898,false
140,29032,0.6335,5,0.1578,0.1357,0.3746,0.8516,true
141,26456,0.5501,3,0.7551,0.0606,0.0855,0.151,false
142,14317,0.46,9,0.4485,0.4414,0.1046,0.0202,false
143,39113,0.125,7,0.3357,0.7648,0.7889,0.1687,true
144,26439,0.7942,4,0.4972,0.5878,0.712,0.0026,true
145,35103,0.7672,4,0.3926,0.1296,0.3996,0.5379,true
146,26576,0.3187,6,0.6619,0.4293,0.1927,0.9867,false
147,24167,0.0723,9,0.0847,0.4845,0.6423,0.3388,false
148,21607,0.9642,8,0.2923,0.1583,0.6542,0.6043,true
149,26179,0.9386,5,0.6731,0.1423,0.4168,0.4396,true
150,38303,0.2622,3,0.7013,0.2169,0.8286,0.9629,true
151,21298,0.4479,2,0.9963,0.0158,0.579,0.4121,true
152,26293,0.9448,8,0.097,0.4135,0.5162,0.4017,false
153,37737,0.4824,4,0.366,0.4382,0.0046,0.2538,true
154,24561,0.2569,6,0.9561,0.9583,0.141,0.1614,false
155,13240,0.8973,8,0.3899,0.1992,0.5813,0.1457,false
156,27529,0.8019,8,0.794,0.0382,0.769,0.5291,false
157,24909,0.3113,7,0.0076,0.3301,0.5111,0.9712,false
158,23280,0.4362,7,0.9833,0.4252,0.6731,0.6901,false
159,36997,0.2573,8,0.8503,0.0917,0.9469,0.9983,false
160,33704,0.2887,7,0.7444,0.2747,0.5356,0.4664,false
161,32667,0.8345,2,0.1496,0.1351,0.239,0.9904,false
162,21592,0.8965,9,0.4442,0.8475,0.2787,0.1975,true
163,17937,0.1219,1,0.1117,0.4266,0.1958,0.4404,false
164,27097,0.9073,9,0.5435,0.2879,0.9977,0.191,true
165,16546,0.9381,7,0.522,0.7881,0.3128,0.1934,true
166,32426,0.7405,6,0.6727,0.814,0.587,0.8001,false
167,11619,0.4238,2,0.5081,0.4827,0.4858,0.3874,true
168,39804,0.726,8,0.7762,0.5682,0.2449,0.7266,true
169,19856,0.6116,9,0.0106,0.1434,0.5887,0.8807,true
170,30387,0.572,8,0.1594,0.8685,0.1012,0.7119,true
171,28073,0.627,6,0.9987,0.4727,0.1715,0.5143,false
172,31905,0.7995,9,0.645,0.1329,0.7672,0.9305,true
173,11468,0.0093,10,0.6056,0.0708,0.9751,0.4744,true
174,26891,0.3916,1,0.0949,0.846,0.0345,0.268,false
175,31902,0.4341,6,0.1708,0.1189,0.3929,0.6561,false
176,32713,0.1877,4,0.2302,0.4002,0.3354,0.2563,true
177,38732,0.7834,10,0.0316,0.8058,0.216,0.6203,true
178,37240,0.28,10,0.423,0.8331,0.0063,0.4134,false
179,34277,0.813,2,0.6176,0.0441,0.7626,0.3199,true
180,36051,0.5473,8,0.1325,0.4963,0.3464,0.3017,false
181,24899,0.5431,8,0.1814,0.5536,0.3453,0.5643,false
182,35337,0.1704,10,0.9328,0.8372,0.0361,0.485,true
183,15130,0.6465,5,0.2118,0.2009,0.7228,0.7986,true
184,32100,0.2928,6,0.4567,0.4741,0.7039,0.4586,false
185,33204,0.199,6,0.3542,0.0088,0.9259,0.4597,false
186,20650,0.0349,3,0.5877,0.0739,0.7373,0.6658,true
187,17291,0.6758,5,0.5061,0.1957,0.103,0.1303,false
188,38547,0.3076,3,0.2705,0.5517,0.0156,0.799,false
189,28006,0.1194,5,0.5818,0.0487,0.5114,0.8744,true
190,35196,0.2519,8,0.0659,0.2642,0.5063,0.3572,false
191,37823,0.4837,3,0.3849,0.4415,0.5998,0.419,true
192,12758,0.9041,3,0.644,0.5245,0.4257,0.7417,true
193,31598,0.1958,6,0.6919,0.6697,0.7326,0.9063,true
194,35333,0.1828,6,0.6142,0.0266,0.5356,0.0429,true
195,27198,0.8,4,0.3493,0.0966,0.0163,0.4818,true
196,10143,0.6943,8,0.9973,0.6362,0.734,0.7978,true
197,19139,0.6406,4,0.7655,0.2977,0.9429,0.3104,true
198,33590,0.975,8,0.6442,0.4054,0.7208,0.2416,true
199,26211,0.4188,2,0.592,0.8165,0.9977,0.2484,false
200,25156,0.5803,10,0.8154,0.4933,0.9741,0.9742,false
201,19222,0.1512,10,0.6554,0.8347,0.2489,0.2171,true
202,28592,0.131,4,0.8297,0.842,0.6216,0.9186,false
203,16811,0.2383,1,0.1339,0.9154,0.247,0.0575,false
204,13688,0.6485,10,0.1696,0.4216,0.0644,0.0142,true
205,32435,0.5864,9,0.3665,0.2377,0.6378,0.688,true
206,19898,0.0034,4,0.9054,0.7937,0.399,0.5836,false
207,31386,0.435,6,0.1472,0.3384,0.6887,0.8023,true
208,15324,0.413,3,0.9614,0.9279,0.1649,0.6632,true
209,18848,0.691,1,0.5337,0.385,0.5869,0.1872,true
210,34466,0.4312,4,0.2975,0.9357,0.122,0.4865,false
211,29605,0.5615,1,0.2673,0.5892,0.9274,0.7847,false
212,39063,0.4097,8,0.416,0.5771,0.3125,0.3866,true
213,37969,0.1429,8,0.1909,0.7727,0.059,0.1127,true
214,31403,0.578,8,0.7759,0.7938,0.5083,0.1219,true
215,16952,0.5486,3,0.4856,0.5241,0.3084,0.9176,false
216,29609,0.9288,10,0.5135,0.0958,0.4572,0.5791,true
217,25518,0.6967,5,0.1844,0.7981,0.1953,0.9553,true
218,31488,0.0605,1,0.2235,0.4613,0.1402,0.1067,true
219,35000,0.2278,8,0.8145,0.0148,0.1908,0.4186,false
220,18136,0.2681,4,0.3546,0.0701,0.6052,0.1005,true
221,19307,0.1103,7,0.5517,0.354,0.7623,0.3492,true
222,27918,0.978,10,0.6918,0.8396,0.939,0.6483,false
223,35743,0.3351,5,0.127,0.5838,0.3981,0.5021,true
224,18508,0.6283,8,0.4792,0.429,0.3839,0.273,true
225,20575,0.74,9,0.8421,0.5035,0.7453,0.0011,true
226,20361,0.0338,9,0.4617,0.2214,0.8468,0.5548,false
227,31457,0.0865,1,0.5866,0.2837,0.1684,0.7981,true
228,22326,0.9016,7,0.1219,0.0053,0.5338,0.104,false
229,20694,0.8353,2,0.8229,0.1388,0.4945,0.8334,false
230,30126,0.2901,9,0.1896,0.4649,0.1432,0.8389,true
231,26765,0.1976,4,0.0309,0.343,0.4628,0.2535,true
232,23214,0.0388,8,0.3255,0.7612,0.0244,0.4135,false
233,31542,0.1229,10,0.2331,0.1977,0.2819,0.9948,false
234,21102,0.7817,5,0.8335,0.5982,0.5408,0.0777,true
235,31808,0.0083,6,0.6544,0.6774,0.9956,0.5753,false
236,39409,0.2919,8,0.1129,0.7681,0.7124,0.0129,true
237,36705,0.6084,8,0.0362,0.9885,0.3906,0.4614,false
238,27401,0.9537,3,0.9363,0.723,0.5373,0.5979,false
239,19317,0.655,5,0.8043,0.7783,0.2182,0.1465,true
240,25722,0.2468,9,0.6539,0.2181,0.364,0.5607,false
241,21043,0.4745,7,0.1379,0.192,0.4463,0.2321,true
242,12981,0.9724,3,0.6897,0.3554,0.7514,0.476,false
243,20933,0.8482,1,0.8383,0.3709,0.0171,0.9227,false
244,10545,0.7525,3,0.447,0.8997,0.7897,0.3648,false
245,21154,0.4285,2,0.1311,0.2375,0.8011,0.5866,false
246,31747,0.1632,1,0.0757,0.8626,0.3406,0.1239,true
247,34283,0.9319,5,0.3726,0.2187,0.1418,0.133,false
248,16708,0.8795,2,0.8366,0.6962,0.255,0.4631,true
249,17089,0.8933,7,0.4257,0.8792,0.2838,0.7764,false
250,17927,0.1531,10,0.9911,0.1097,0.5301,0.074,false
251,34095,0.6989,9,0.3911,0.3635,0.7569,0.3869,false
252,24319,0.8656,3,0.3281,0.5668,0.7003,0.1975,false
253,21656,0.4913,7,0.6037,0.8957,0.8025,0.8651,false
254,29386,0.5001,7,0.0932,0.6098,0.0359,0.2615,true
255,16482,0.7361,10,0.9177,0.9222,0.2304,0.2702,true
256,17684,0.7164,8,0.3746,0.6582,0.2975,0.4803,true
257,36827,0.1642,2,0.0056,0.8279,0.8902,0.0605,true
258,32009,0.0331,9,0.1525,0.8669,0.3005,0.3606,false
259,36667,0.9515,7,0.8789,0.4313,0.8327,0.3279,false
260,26306,0.0538,6,0.5754,0.2994,0.2768,0.5929,false
261,35566,0.5925,3,0.2753,0.8461,0.3533,0.1419,true
262,15108,0.0747,1,0.4309,0.6256,0.5016,0.4669,true
263,27182,0.411,10,0.9954,0.6441,0.8873,0.1548,false
264,39513,0.2406,1,0.0337,0.5842,0.206,0.8602,false
265,27113,0.384,4,0.5692,0.0033,0.0029,0.4419,true
266,10432,0.7392,5,0.8384,0.4786,0.2979,0.3719,true
267,24150,0.4448,7,0.4135,0.8846,0.5024,0.0905,false
268,32159,0.1482,3,0.7503,0.4041,0.8666,0.801,false
269,39913,0.2335,1,0.3753,0.2822,0.5411,0.8932,true
270,12410,0.5655,5,0.8718,0.5956,0.166,0.0464,false
271,11108,0.9613,7,0.9483,0.3697,0.6231,0.2861,false
272,28417,0.4409,9,0.8358,0.8636,0.4645,0.4243,true
273,28028,0.1349,8,0.2371,0.5054,0.372,0.3297,false
274,25129,0.1564,10,0.0541,0.3218,0.9502,0.8314,false
275,30057,0.5814,7,0.3927,0.3284,0.7638,0.4363,true
276,22905,0.5897,7,0.3741,0.7995,0.2701,0.4213,true
277,33374,0.4285,2,0.5326,0.5558,0.8589,0.1137,false
278,27898,0.8949,8,0.8956,0.5775,0.0626,0.6603,false
279,19492,0.1405,5,0.4225,0.3102,0.833,0.3131,false
280,23465,0.9991,3,0.1297,0.3856,0.5473,0.7955,true
281,16908,0.399,8,0.3973,0.3149,0.3194,0.6619,false
282,16121,0.4019,3,0.7249,0.8768,0.8668,0.368,false
283,19822,0.7867,6,0.9429,0.139,0.9051,0.1025,false
284,10692,0.697,5,0.9928,0.3572,0.333,0.2473,true
285,12004,0.4996,2,0.7373,0.359,0.5667,0.8619,true
286,23202,0.4588,5,0.4066,0.0836,0.5249,0.1735,false
287,21396,0.4591,1,0.0213,0.696,0.2989,0.6442,false
288,38239,0.8438,6,0.6229,0.4406,0.0658,0.8591,true
289,34776,0.5894,8,0.4336,0.5278,0.7138,0.4527,true
290,12443,0.1997,1,0.7204,0.2875,0.8728,0.9473,true
291,20880,0.6117,7,0.0811,0.9498,0.0797,0.7092,true
292,36072,0.099,5,0.6199,0.8719,0.4518,0.9081,true
293,32587,0.2345,5,0.6368,0.57,0.0954,0.0881,true
294,27076,0.7252,4,0.4841,0.98,0.4609,0.7864,true
295,32641,0.3918,2,0.281,0.0637,0.6234,0.7478,true
296,35153,0.7526,7,0.2071,0.2266,0.6611,0.5708,true
297,34575,0.0234,2,0.7465,0.7836,0.0447,0.0369,false
298,13023,0.3082,5,0.347,0.0072,0.824,0.2825,false
299,22070,0.6889,10,0.0832,0.5464,0.9295,0.5614,true
300,32396,0.6176,6,0.9023,0.0145,0.448,0.1974,true
301,27028,0.7422,8,0.6502,0.9595,0.0532,0.0699,true
302,26050,0.9522,4,0.0175,0.0082,0.2841,0.0444,false
303,14763,0.2017,8,0.2868,0.6512,0.0099,0.293,true
304,13636,0.7644,6,0.0171,0.0633,0.0384,0.0739,true
305,26580,0.1205,4,0.6346,0.5025,0.1251,0.0724,false
306,19445,0.7001,5,0.6442,0.1503,0.4047,0.0766,true
307,12257,0.3873,4,0.4625,0.8611,0.843,0.1596,false
308,12239,0.6999,5,0.6601,0.1942,0.8732,0.2039,true
309,28770,0.4984,4,0.5355,0.9827,0.0115,0.7601,false
310,10169,0.0142,5,0.4708,0.3228,0.1789,0.053,false
311,29819,0.7082,4,0.124,0.7316,0.1437,0.0694,false
312,22024,0.2895,5,0.7795,0.5501,0.1332,0.1881,true
313,12956,0.4856,2,0.3382,0.5271,0.4212,0.5204,false
314,22991,0.2226,4,0.72,0.922,0.6241,0.5143,false
315,28407,0.0924,2,0.5776,0.968,0.0829,0.0529,false
316,24641,0.4973,8,0.3796,0.0483,0.0106,0.1446,true
317,30606,0.2837,6,0.33,0.8551,0.7992,0.97,true
318,16503,0.4642,4,0.9644,0.2435,0.5055,0.7345,false
319,25480,0.8395,10,0.6317,0.4557,0.0318,0.2638,false
320,34762,0.8357,1,0.9765,0.8307,0.0611,0.3526,true
321,22566,0.7319,7,0.9815,0.9852,0.5041,0.2767,true
322,23369,0.9788,10,0.144,0.5177,0.4623,0.2152,false
323,19325,0.8661,9,0.6601,0.0803,0.5831,0.5762,true
324,28261,0.8046,5,0.4308,0.3888,0.6743,0.4906,false
325,29591,0.979,1,0.373,0.9787,0.5253,0.4273,false
326,28157,0.9428,10,0.1187,0.3103,0.4591,0.293,false
327,39663,0.2576,2,0.8658,0.882,0.6493,0.6683,true
328,34240,0.9435,4,0.0704,0.7751,0.1248,0.2542,false
329,25810,0.8946,6,0.3268,0.5165,0.7633,0.1609,false
330,19430,0.2349,10,0.0844,0.5666,0.2947,0.0304,true
331,19460,0.4758,7,0.6553,0.1842,0.7233,0.8755,true
332,21380,0.3311,5,0.1328,0.5207,0.4961,0.3802,true
333,15334,0.8199,8,0.8803,0.5566,0.1244,0.9374,true
334,23452,0.8285,3,0.2016,0.5673,0.289,0.2149,false
335,27472,0.3098,1,0.1064,0.358,0.0838,0.7441,false
336,10550,0.6657,10,0.9289,0.1041,0.2462,0.0708,false
337,36826,0.8734,2,0.7099,0.1989,0.34,0.1706,false
338,37177,0.8997,3,0.3591,0.2448,0.9647,0.2158,false
339,26967,0.5173,3,0.741,0.5878,0.4965,0.4506,true
340,23021,0.9865,2,0.7589,0.8216,0.0283,0.428,false
341,11335,0.0154,9,0.3539,0.2239,0.3756,0.23,false
342,32817,0.8932,5,0.9787,0.061,0.8531,0.9886,true
343,18248,0.9835,6,0.1084,0.306,0.4215,0.7779,false
344,35018,0.4389,6,0.8263,0.241,0.0317,0.5057,false
345,39996,0.3724,1,0.32,0.3278,0.9001,0.3774,true
346,16929,0.9147,5,0.5361,0.581,0.6046,0.832,true
347,18229,0.1516,1,0.9613,0.2653,0.2932,0.0643,true
348,21635,0.8238,5,0.7345,0.9566,0.7234,0.4152,false
349,28374,0.7124,3,0.923,0.3191,0.3491,0.1708,false
350,29664,0.1426,6,0.2378,0.5438,0.3637,0.8858,true
351,17914,0.4816,9,0.2525,0.0855,0.024,0.1982,true
352,36086,0.8718,1,0.7697,0.5804,0.6888,0.5378,false
353,37360,0.9272,6,0.5192,0.2683,0.581,0.3796,true
354,39296,0.5129,1,0.818,0.7891,0.3724,0.8576,true
355,27702,0.5235,2,0.8856,0.2782,0.4798,0.8189,false
356,38524,1.0,6,0.9983,0.447,0.5312,0.3717,true
357,13103,0.456,6,0.5967,0.7724,0.1454,0.4444,true
358,16029,0.0667,3,0.8143,0.6555,0.4327,0.3414,false
359,18157,0.5532,10,0.6759,0.6281,0.7928,0.2616,true
360,38655,0.9353,5,0.4112,0.0696,0.6188,0.8696,true
361,14042,0.6491,10,0.8839,0.503,0.7931,0.6334,true
362,15565,0.3181,10,0.6366,0.6218,0.2178,0.5955,false
363,15072,0.9821,8,0.3989,0.8592,0.0817,0.4592,true
364,30553,0.6094,10,0.4226,0.359,0.7172,0.5647,true
365,33674,0.1891,9,0.5036,0.5447,0.2842,0.8257,true
366,30912,0.2431,7,0.2085,0.0289,0.2416,0.2914,false
367,21594,0.6273,4,0.6888,0.4599,0.475,0.0066,true
368,24638,0.1445,1,0.3881,0.0716,0.7566,0.668,true
369,27408,0.4893,6,0.2845,0.1149,0.0227,0.0905,true
370,14909,0.3213,10,0.8285,0.8009,0.3243,0.9478,false
371,22370,0.5148,6,0.9257,0.578,0.7342,0.3241,true
372,30081,0.2452,4,0.6853,0.4929,0.5195,0.7396,false
373,16494,0.6121,1,0.7265,0.1719,0.7222,0.9024,true
374,23721,0.487,7,0.8032,0.7901,0.1714,0.3573,false
375,26009,0.5423,4,0.531,0.3181,0.6397,0.2702,true
376,16219,0.266,1,0.7162,0.2986,0.7685,0.9256,false
377,37452,0.5751,4,0.8151,0.3248,0.9947,0.8726,false
378,32134,0.4581,3,0.4522,0.9071,0.2143,0.1479,false
379,37214,0.0008,3,0.4309,0.7524,0.9413,0.586,true
380,17069,0.367,3,0.4393,0.1666,0.4346,0.1708,true
381,21253,0.1678,8,0.4535,0.2687,0.2906,0.6009,true
382,27913,0.7255,6,0.4366,0.9949,0.4574,0.1941,true
383,24921,0.6331,1,0.4347,0.3881,0.4311,0.8015,false
384,14419,0.1128,6,0.9821,0.9573,0.2487,0.4108,false
385,16000,0.4319,7,0.7635,0.0735,0.0471,0.7528,false
386,28608,0.7366,1,0.6481,0.835,0.4547,0.1949,true
387,37028,0.1227,9,0.0412,0.9007,0.2409,0.3542,true
388,37563,0.0076,1,0.8918,0.6775,0.3903,0.2947,true
389,18081,0.9248,10,0.5826,0.8053,0.187,0.0871,true
390,20696,0.8834,5,0.3492,0.4732,0.0853,0.6997,false
391,14375,0.5855,6,0.401,0.1459,0.5809,0.8944,false
392,10815,0.4321,5,0.0457,0.9715,0.6778,0.9033,false
393,14185,0.576,3,0.3847,0.0954,0.3856,0.368,false
394,22954,0.9314,4,0.2081,0.7855,0.9989,0.749,true
395,25771,0.3434,1,0.7021,0.1887,0.6378,0.0021,false
396,31879,0.2087,2,0.5155,0.5887,0.8455,0.3162,false
397,24096,0.1587,4,0.9336,0.5025,0.3212,0.4127,false
398,37482,0.7705,10,0.2507,0.1962,0.6922,0.244,true
399,26991,0.3352,9,0.102,0.378,0.7175,0.4252,true
400,12341,0.477,10,0.6489,0.7401,0.4439,0.5374,false
401,34030,0.9295,2,0.0885,0.7331,0.2871,0.3056,false
402,26800,0.7121,9,0.6501,0.0141,0.7561,0.1701,true
403,28696,0.2023,10,0.091,0.5363,0.9167,0.5662,false
404,18457,0.7045,9,0.0164,0.9114,0.6412,0.29,true
405,33331,0.2948,9,0.1904,0.6916,0.1191,0.6409,false
406,23859,0.6495,7,0.6001,0.4852,0.7132,0.6792,false
407,11396,0.4186,4,0.1189,0.9846,0.9552,0.0878,true
408,19353,0.1192,10,0.0348,0.899,0.8943,0.4973,true
409,25974,0.8641,8,0.6136,0.7191,0.8897,0.0433,true
410,30162,0.5028,10,0.6717,0.5198,0.7835,0.8134,false
411,14742,0.4526,5,0.1537,0.0971,0.0457,0.1887,true
412,20399,0.4041,7,0.0344,0.7624,0.2738,0.1997,false
413,24111,0.8847,1,0.3439,0.5098,0.6983,0.7622,true
