out_acc_num,in_currency_amount,net_worth,credit_score,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international,label
63,10605,0.9272,8,0.6594,0.9018,0.7067,0.8268,1
64,11740,0.7768,7,0.1246,0.7287,0.1259,0.7263,1
65,17967,0.4346,6,0.1301,0.495,0.5389,0.2248,1
66,15308,0.4447,4,0.6671,0.9156,0.9375,0.6253,1
67,8610,0.1111,3,0.8702,0.9312,0.8175,0.1138,1
68,12317,0.6831,10,0.6403,0.4668,0.8987,0.6625,1
69,9422,0.0788,10,0.7608,0.97,0.7876,0.0657,0
70,14792,0.008,7,0.6406,0.1871,0.0091,0.3488,0
71,8679,0.8346,7,0.3289,0.3021,0.3528,0.9117,0
72,12830,0.2604,10,0.982,0.4152,0.6786,0.9865,1
73,12602,0.231,10,0.4582,0.2764,0.5093,0.0432,1
74,14657,0.9192,8,0.1664,0.7683,0.3243,0.7637,0
75,15727,0.066,10,0.1338,0.6683,0.8708,0.1596,0
76,18937,0.3345,7,0.0672,0.893,0.7832,0.9028,1
77,12598,0.5793,6,0.4804,0.8268,0.0942,0.5314,0
78,11253,0.4741,4,0.0733,0.7603,0.1588,0.307,1
79,10031,0.1193,2,0.3538,0.135,0.1926,0.1822,0
80,17066,0.7064,4,0.6959,0.9807,0.9207,0.0123,1
81,17296,0.0472,9,0.0817,0.6278,0.8281,0.1474,0
82,14221,0.4659,2,0.5817,0.9713,0.6814,0.6299,0
83,17079,0.9217,1,0.4273,0.093,0.7903,0.1083,1
84,11553,0.5873,10,0.9777,0.2723,0.6298,0.2827,1
85,9551,0.3864,3,0.2795,0.6511,0.4267,0.5397,1
86,11362,0.9937,10,0.9484,0.2996,0.8102,0.8069,1
87,18902,0.4224,1,0.0068,0.1094,0.4295,0.0828,0
88,14919,0.8177,1,0.3736,0.7494,0.1212,0.457,1
89,17540,0.202,5,0.364,0.456,0.0914,0.4221,1
90,9140,0.0302,8,0.8387,0.1299,0.9195,0.9132,1
91,19880,0.0846,1,0.1991,0.787,0.91,0.1109,0
92,10418,0.4129,1,0.5377,0.4489,0.032,0.1562,0
93,18466,0.5588,5,0.8457,0.0359,0.3085,0.2629,0
94,10527,0.241,8,0.6461,0.4406,0.907,0.5378,1
95,12671,0.8354,6,0.1082,0.0377,0.8969,0.337,1
96,10022,0.4772,1,0.3342,0.6166,0.5685,0.9619,1
97,13210,0.5477,6,0.7424,0.418,0.148,0.4456,0
98,17351,0.7109,3,0.7364,0.773,0.2306,0.3379,0
99,16721,0.7638,4,0.9569,0.3048,0.8058,0.182,0
100,11448,0.0955,8,0.9766,0.8501,0.8959,0.9628,1
101,8959,0.1961,3,0.5412,0.8803,0.2309,0.2806,0
102,10986,0.2987,4,0.982,0.4312,0.0255,0.6914,0
103,12381,0.2303,5,0.6693,0.9529,0.448,0.2625,0
104,18145,0.0972,9,0.8725,0.7071,0.0754,0.7649,1
105,8108,0.9292,9,0.816,0.5453,0.7396,0.0582,0
106,15855,0.2984,1,0.0892,0.2449,0.6629,0.2244,1
107,9491,0.7481,9,0.7654,0.7411,0.0134,0.6627,0
108,14812,0.6638,6,0.6248,0.8082,0.424,0.2753,0
109,11918,0.3928,7,0.7135,0.2476,0.265,0.1131,1
110,16827,0.2972,3,0.8219,0.967,0.5811,0.7234,1
111,11750,0.5064,5,0.1461,0.9906,0.8929,0.5221,0
112,16898,0.1467,9,0.7791,0.6822,0.9013,0.9668,1
113,17510,0.8114,7,0.8478,0.2856,0.6049,0.0667,0
114,9737,0.2038,5,0.7092,0.784,0.5506,0.7698,1
115,14850,0.5997,4,0.7461,0.9124,0.0632,0.4731,1
116,12434,0.0474,7,0.4222,0.0144,0.219,0.4534,1
117,15608,0.4821,4,0.3496,0.003,0.7915,0.7484,1
118,9356,0.4845,1,0.5118,0.6638,0.2481,0.4784,1
119,14322,0.6275,10,0.3374,0.9772,0.3571,0.4371,0
120,10929,0.0992,9,0.6778,0.2163,0.5703,0.0674,0
121,10840,0.6663,4,0.6193,0.4328,0.4523,0.091,0
122,9895,0.1022,5,0.056,0.7972,0.8454,0.5481,0
123,11549,0.6357,7,0.8703,0.0466,0.1106,0.4892,0
124,14583,0.1194,1,0.1693,0.3156,0.6275,0.4481,1
125,14476,0.0903,4,0.6963,0.982,0.1201,0.1525,0
126,8666,0.5926,8,0.8469,0.3151,0.2122,0.4748,0
127,19628,0.3313,4,0.0108,0.0862,0.4916,0.331,1
128,19083,0.199,9,0.2305,0.9866,0.0347,0.9636,1
129,13732,0.2436,4,0.7093,0.3759,0.3817,0.9492,0
130,9239,0.5383,1,0.5594,0.7517,0.9849,0.4253,0
131,12960,0.846,1,0.1989,0.1362,0.0595,0.9468,0
132,8437,0.6085,1,0.8455,0.0584,0.45,0.2153,0
133,16607,0.7758,6,0.5845,0.3531,0.3647,0.666,0
134,14796,0.1517,4,0.6919,0.8995,0.0234,0.2812,1
135,19334,0.7442,2,0.007,0.0505,0.3627,0.467,0
136,15679,0.1534,9,0.413,0.3025,0.6598,0.7409,1
137,10352,0.4946,3,0.8929,0.2278,0.5927,0.864,1
138,19866,0.6722,2,0.8897,0.571,0.5294,0.0787,1
139,18391,0.4438,6,0.3408,0.5517,0.9934,0.5275,1
140,19645,0.482,2,0.2194,0.0368,0.0817,0.7286,0
141,11076,0.4263,7,0.3654,0.2685,0.5694,0.0861,0
142,12765,0.3458,4,0.92,0.729,0.9882,0.825,0
143,17654,0.5958,1,0.6348,0.3647,0.2785,0.3348,1
144,13446,0.7474,4,0.6922,0.8041,0.4978,0.1084,0
145,11684,0.9568,1,0.5355,0.0847,0.342,0.6592,1
146,15335,0.8505,9,0.1364,0.8323,0.9788,0.728,1
147,10513,0.2772,8,0.0381,0.1693,0.7442,0.0246,0
148,15939,0.8448,7,0.7718,0.3061,0.0642,0.6602,1
149,17508,0.6831,5,0.2408,0.1259,0.759,0.661,0
150,8905,0.7048,9,0.0099,0.7833,0.2783,0.6852,0
151,9534,0.8502,6,0.3948,0.6378,0.8869,0.9192,0
152,16974,0.6635,2,0.5741,0.0493,0.766,0.14,1
153,14601,0.2416,2,0.2711,0.3485,0.9876,0.4842,0
154,16212,0.7566,10,0.9406,0.743,0.6275,0.7832,0
155,10989,0.2824,3,0.3169,0.3679,0.8955,0.9908,0
156,14381,0.7973,2,0.7285,0.4671,0.5292,0.8126,0
157,8096,0.4348,1,0.2746,0.8611,0.9152,0.5416,0
158,17317,0.2371,4,0.2912,0.6761,0.731,0.9329,0
159,17944,0.1861,10,0.3827,0.0467,0.5592,0.4414,1
160,17193,0.3577,8,0.4211,0.9422,0.7362,0.3162,0
161,9925,0.1914,3,0.8061,0.3756,0.0666,0.1743,1
162,12033,0.4409,7,0.8458,0.48,0.4149,0.7579,1
163,8813,0.1023,2,0.6981,0.0484,0.0188,0.7964,0
164,15632,0.0687,7,0.1116,0.0612,0.1837,0.0131,0
165,9038,0.87,2,0.1805,0.2073,0.6453,0.1935,1
166,15511,0.1013,1,0.1988,0.475,0.8402,0.6661,0
167,19810,0.0155,3,0.9648,0.0665,0.9247,0.4852,0
168,11582,0.8042,8,0.6346,0.1905,0.3867,0.4034,0
169,19862,0.5818,1,0.8354,0.5247,0.6255,0.0675,0
170,18106,0.0921,6,0.7777,0.981,0.0541,0.747,1
171,12076,0.9041,4,0.0083,0.1295,0.4471,0.2938,0
172,11931,0.1728,4,0.3098,0.6041,0.2115,0.4344,1
173,13296,0.8141,2,0.0774,0.9909,0.7343,0.5196,0
174,17840,0.5979,6,0.6676,0.4038,0.6478,0.2012,0
175,15144,0.316,8,0.8744,0.5843,0.9253,0.4371,1
176,8192,0.2927,6,0.0857,0.9822,0.5208,0.2896,0
177,8933,0.8348,1,0.4138,0.1992,0.9169,0.2408,1
178,17110,0.8823,6,0.5362,0.4648,0.7969,0.8437,0
179,11286,0.0527,9,0.3126,0.8738,0.3345,0.2248,1
180,19094,0.6296,5,0.3131,0.1447,0.9831,0.3195,1
181,11587,0.8431,6,0.2349,0.0934,0.3569,0.3066,0
182,13770,0.9357,10,0.3574,0.1381,0.296,0.648,0
183,11290,0.9839,8,0.4806,0.1028,0.9668,0.2759,0
184,8296,0.6334,3,0.0606,0.7431,0.1628,0.029,1
185,18346,0.8338,9,0.2826,0.8441,0.1052,0.2755,1
186,13582,0.6148,3,0.9891,0.7024,0.4459,0.3018,1
187,15371,0.517,3,0.4996,0.3756,0.0329,0.7896,1
188,11652,0.2171,7,0.3465,0.7703,0.9356,0.6436,0
189,9548,0.1486,2,0.4989,0.9561,0.7052,0.8343,0
190,10058,0.3219,9,0.8088,0.9365,0.1992,0.4494,0
191,19244,0.0763,2,0.8414,0.807,0.5737,0.7612,1
192,12724,0.3509,4,0.6497,0.3155,0.5203,0.9227,0
193,14050,0.0682,3,0.4486,0.4956,0.6731,0.2847,1
194,13496,0.051,6,0.1835,0.8673,0.1891,0.713,1
195,18311,0.5622,8,0.072,0.5849,0.2262,0.1401,1
196,16549,0.4288,10,0.0468,0.6418,0.2352,0.0993,1
197,13214,0.3305,10,0.4398,0.1789,0.0471,0.3329,0
198,11866,0.9623,8,0.9128,0.9896,0.6306,0.4252,1
199,13657,0.2921,10,0.7109,0.6088,0.1094,0.4533,1
200,15941,0.4962,9,0.2152,0.9634,0.7716,0.452,1
201,10699,0.3574,6,0.7289,0.5828,0.754,0.1695,1
202,19540,0.9325,5,0.6924,0.9282,0.3915,0.846,0
203,14844,0.4101,6,0.3358,0.7344,0.6989,0.2123,0
204,12436,0.2774,1,0.1589,0.3342,0.6667,0.6723,0
205,8578,0.9913,2,0.1538,0.1925,0.8363,0.4353,0
206,14021,0.675,6,0.0585,0.4387,0.0866,0.8213,0
207,17938,0.5615,8,0.2162,0.6793,0.4335,0.4255,0
208,14832,0.9601,5,0.9988,0.9409,0.8565,0.0828,0
209,8220,0.6187,5,0.2233,0.3486,0.8639,0.5843,0
210,11974,0.3336,10,0.6542,0.9371,0.2756,0.2387,1
211,9558,0.8588,8,0.5314,0.6942,0.2184,0.3098,1
212,19906,0.3525,6,0.0202,0.2215,0.7667,0.1833,0
213,12217,0.2558,3,0.6619,0.6557,0.7433,0.6693,1
214,11657,0.69,3,0.7242,0.2268,0.5342,0.18,0
215,8808,0.6671,1,0.2597,0.6224,0.2791,0.6242,1
216,13233,0.6245,7,0.8583,0.3287,0.6165,0.3902,1
217,11646,0.5869,4,0.6361,0.7765,0.0898,0.1702,0
218,17369,0.2018,5,0.5691,0.9323,0.2958,0.6318,0
219,12603,0.5371,9,0.5953,0.0926,0.6911,0.1997,0
220,19822,0.4628,2,0.429,0.0009,0.5998,0.1626,1
221,8692,0.4325,10,0.1569,0.4715,0.2691,0.064,1
222,12220,0.2014,9,0.7702,0.3641,0.1594,0.6352,0
223,15112,0.9597,10,0.0433,0.3524,0.0823,0.2298,1
224,16496,0.2497,10,0.7991,0.4165,0.251,0.3588,1
225,14671,0.8591,7,0.3951,0.9138,0.6499,0.7438,0
226,17432,0.0924,6,0.7585,0.8833,0.823,0.5301,0
227,12521,0.598,3,0.6252,0.5251,0.898,0.0458,1
228,11599,0.3937,10,0.3441,0.2507,0.7853,0.7086,0
229,18145,0.2064,4,0.8766,0.3083,0.4066,0.2889,0
230,18495,0.3066,9,0.6275,0.1815,0.5138,0.1782,0
231,11750,0.1073,9,0.2022,0.0827,0.8669,0.3058,1
232,10443,0.8654,10,0.9552,0.1756,0.8587,0.4915,1
233,13141,0.9383,4,0.4306,0.9482,0.3579,0.7359,1
234,10654,0.9117,1,0.9742,0.3683,0.9273,0.0993,1
235,14267,0.1815,7,0.4088,0.7072,0.2746,0.7937,1
236,12607,0.7655,1,0.6763,0.5557,0.1262,0.3923,1
237,10698,0.9176,8,0.1348,0.5457,0.2893,0.3726,0
238,12378,0.063,1,0.9392,0.734,0.391,0.0533,1
239,17901,0.4395,7,0.3526,0.0587,0.963,0.095,0
240,15729,0.8237,3,0.4618,0.2485,0.67,0.0855,0
241,8460,0.5,9,0.2493,0.8839,0.3246,0.79,1
242,11887,0.7481,2,0.3513,0.4525,0.6609,0.1169,0
243,8171,0.9096,9,0.0359,0.6831,0.1498,0.1902,0
244,16164,0.3701,8,0.7275,0.8908,0.5232,0.3952,1
245,17205,0.3296,5,0.8991,0.6214,0.6201,0.9948,1
246,13212,0.6363,8,0.3594,0.8234,0.2086,0.044,1
247,17490,0.708,8,0.448,0.2139,0.6961,0.3487,0
248,10936,0.3051,7,0.9791,0.7538,0.6809,0.4495,1
249,18771,0.6879,7,0.1829,0.8036,0.1195,0.5907,1
250,18154,0.4977,1,0.9064,0.1889,0.9717,0.1509,1
251,14306,0.5263,6,0.8946,0.7256,0.0443,0.7377,0
252,18682,0.2528,3,0.9966,0.0439,0.2537,0.1542,1
253,16631,0.5948,1,0.9131,0.9835,0.7322,0.5825,0
254,17299,0.6503,7,0.2534,0.1551,0.9719,0.0664,0
255,11171,0.4545,9,0.7067,0.3301,0.5569,0.2477,1
256,15106,0.2962,4,0.9978,0.534,0.0986,0.0719,1
257,13886,0.2739,3,0.2229,0.7579,0.2627,0.3371,1
258,14296,0.9391,9,0.8073,0.838,0.2363,0.0373,0
259,18764,0.643,9,0.0622,0.4808,0.0832,0.9952,1
260,11486,0.76,10,0.4283,0.9363,0.9793,0.5502,1
261,15868,0.2207,3,0.772,0.5252,0.3103,0.4639,0
262,19720,0.8097,9,0.2103,0.6282,0.4084,0.1529,0
263,15699,0.9672,9,0.0768,0.2085,0.2598,0.1031,0
264,10122,0.9371,9,0.417,0.0144,0.9796,0.1839,1
265,13010,0.8864,5,0.4089,0.915,0.4005,0.7344,1
266,8443,0.4006,1,0.7303,0.2614,0.8715,0.3855,0
267,15065,0.4829,1,0.4809,0.0872,0.8948,0.2193,1
268,16276,0.7806,6,0.2532,0.6561,0.7351,0.8464,0
269,10125,0.6892,9,0.6394,0.2264,0.0292,0.7663,0
270,11015,0.6807,8,0.067,0.531,0.3434,0.5831,1
271,16429,0.1641,3,0.6691,0.6922,0.623,0.3164,0
272,19224,0.001,1,0.4174,0.4764,0.2481,0.9277,0
273,15087,0.873,9,0.5493,0.5684,0.0385,0.9816,0
274,17152,0.2749,9,0.8738,0.7579,0.6395,0.1527,1
275,9006,0.1723,1,0.4654,0.8068,0.1085,0.0588,0
276,8412,0.6425,2,0.6287,0.4435,0.0681,0.6342,1
277,17653,0.1826,7,0.1816,0.706,0.0155,0.8371,0
278,17564,0.4935,10,0.5504,0.3565,0.29,0.9392,0
279,16129,0.4974,6,0.5039,0.6941,0.824,0.7476,1
280,17728,0.62,10,0.7832,0.2687,0.9465,0.6377,0
281,18187,0.9764,3,0.0496,0.9552,0.487,0.953,0
282,13638,0.2552,4,0.1129,0.6402,0.5808,0.8948,0
283,16987,0.1924,6,0.1828,0.6734,0.0259,0.3856,0
284,19628,0.8863,9,0.0887,0.8107,0.0187,0.7516,1
285,10521,0.5834,7,0.558,0.1935,0.3944,0.5704,1
286,14186,0.8768,6,0.0993,0.6006,0.827,0.2982,0
287,9754,0.472,7,0.6147,0.3023,0.1669,0.9066,1
288,16600,0.9234,5,0.8736,0.1041,0.8471,0.3464,1
289,9384,0.3276,3,0.456,0.9191,0.1877,0.801,1
290,18722,0.5109,10,0.8923,0.9493,0.3673,0.7706,1
291,16275,0.4165,10,0.2963,0.3554,0.9548,0.2028,0
292,12063,0.2955,8,0.9924,0.3233,0.1842,0.259,0
293,12032,0.4995,7,0.7707,0.6879,0.7305,0.563,0
294,15933,0.7026,3,0.309,0.8452,0.664,0.7508,0
295,19048,0.294,6,0.3903,0.4452,0.7676,0.6135,0
296,11671,0.3453,4,0.876,0.8456,0.8039,0.855,1
297,19593,0.5578,1,0.8954,0.3996,0.2147,0.3177,0
298,15220,0.8597,5,0.3588,0.0839,0.8022,0.5674,1
299,11058,0.8121,3,0.4642,0.1366,0.0043,0.4734,1
300,15399,0.0657,3,0.507,0.3525,0.7662,0.8705,0
301,14967,0.6182,8,0.6517,0.5179,0.3059,0.9143,0
302,11913,0.286,1,0.5148,0.5265,0.068,0.308,0
303,15782,0.6949,7,0.7078,0.3477,0.0671,0.2046,1
304,18555,0.4747,4,0.127,0.1858,0.8251,0.2283,0
305,15793,0.1259,10,0.7019,0.3503,0.3721,0.6089,0
306,17804,0.6667,6,0.0965,0.166,0.7194,0.32,1
307,13293,0.4442,5,0.9212,0.4393,0.1083,0.8779,0
308,19360,0.0578,6,0.5895,0.2039,0.2244,0.0905,1
309,17973,0.1592,4,0.0988,0.836,0.8694,0.6083,1
310,9831,0.4087,7,0.4276,0.9834,0.6201,0.8812,0
311,15789,0.8693,6,0.7547,0.7833,0.54,0.6906,1
312,15200,0.5602,6,0.5363,0.7073,0.1406,0.4917,1
313,12252,0.4206,4,0.0354,0.2297,0.259,0.278,1
314,8383,0.8891,10,0.4518,0.4866,0.8349,0.6272,0
315,9191,0.8071,7,0.1878,0.441,0.6702,0.8765,0
316,17065,0.6187,7,0.1603,0.7459,0.1726,0.4243,1
317,16912,0.7561,6,0.6449,0.7702,0.0945,0.5982,1
318,11057,0.3987,8,0.3527,0.1907,0.0856,0.8429,1
319,18978,0.7536,7,0.7988,0.5569,0.4939,0.3867,1
320,19396,0.6685,10,0.9858,0.0221,0.1976,0.7644,1
321,9973,0.3303,1,0.9682,0.6579,0.2453,0.3117,1
322,13793,0.716,3,0.5551,0.5874,0.6623,0.5423,1
323,19490,0.1767,1,0.7124,0.0144,0.9617,0.3205,0
324,8860,0.3252,1,0.2878,0.3891,0.2641,0.6291,1
325,15738,0.1434,7,0.1092,0.3085,0.3374,0.5584,1
326,19465,0.797,9,0.9487,0.095,0.8632,0.1206,0
327,14373,0.0817,9,0.8062,0.4792,0.629,0.5172,0
328,14158,0.9658,3,0.8024,0.6342,0.2901,0.1969,0
329,19048,0.2632,2,0.8097,0.9966,0.4884,0.8194,0
330,13811,0.773,5,0.1606,0.5263,0.3941,0.1946,0
331,17332,0.615,3,0.34,0.5705,0.6971,0.6014,1
332,13139,0.3526,1,0.7998,0.384,0.8331,0.4978,1
333,9464,0.8355,10,0.3394,0.7356,0.3019,0.4906,1
334,14940,0.0295,5,0.1662,0.1914,0.7653,0.4281,0
335,18061,0.3156,10,0.4848,0.6156,0.2781,0.0407,1
336,10433,0.0606,6,0.5836,0.7432,0.8185,0.655,0
337,12409,0.8004,7,0.8374,0.7218,0.0825,0.6402,0
338,12542,0.2173,6,0.358,0.4748,0.7995,0.7824,1
339,11696,0.4126,10,0.3577,0.3131,0.1621,0.5691,1
340,9551,0.6511,7,0.5248,0.3085,0.398,0.8532,1
341,10997,0.0651,6,0.2134,0.048,0.1005,0.1202,0
342,12987,0.5888,1,0.7704,0.7257,0.6787,0.6164,1
343,18212,0.4519,10,0.2805,0.5576,0.667,0.424,0
344,14520,0.6008,8,0.1868,0.1974,0.3231,0.8752,0
345,18461,0.4592,5,0.2163,0.8976,0.1112,0.1858,1
346,8088,0.893,5,0.8,0.0331,0.9164,0.3407,0
347,8158,0.7523,3,0.7695,0.1154,0.8285,0.351,0
348,19965,0.3566,4,0.2703,0.9001,0.4282,0.1801,0
349,12717,0.8107,3,0.9896,0.233,0.3645,0.2279,0
350,10282,0.5815,8,0.5764,0.9952,0.407,0.1759,1
351,13187,0.0435,8,0.9963,0.1352,0.6925,0.6647,0
352,14331,0.2116,9,0.5766,0.2492,0.5172,0.4766,1
353,13798,0.762,4,0.2137,0.9905,0.4711,0.5388,0
354,16046,0.3366,2,0.6611,0.3052,0.87,0.1089,1
355,11034,0.2113,9,0.0933,0.8402,0.0042,0.3314,0
356,11790,0.1634,1,0.6221,0.6927,0.3424,0.7764,0
357,11284,0.3089,5,0.2567,0.5049,0.0055,0.3401,1
358,16363,0.7179,8,0.1641,0.3494,0.1999,0.0658,1
359,11929,0.4298,5,0.9269,0.3059,0.702,0.814,0
360,18639,0.7537,1,0.257,0.2328,0.1627,0.0662,0
361,14103,0.9747,9,0.6371,0.0907,0.6992,0.5275,1
362,19705,0.3292,3,0.3797,0.6245,0.5913,0.4204,0
363,15705,0.6071,4,0.2968,0.5366,0.8362,0.2825,0
364,16604,0.2567,5,0.7837,0.9341,0.5589,0.2449,1
365,17560,0.1438,4,0.1393,0.5081,0.7845,0.6644,1
366,14922,0.4291,10,0.7434,0.2401,0.9082,0.7867,1
367,10352,0.7439,6,0.5015,0.6839,0.6315,0.475,1
368,12729,0.8533,2,0.1932,0.034,0.762,0.83,1
369,13322,0.5923,10,0.7727,0.8972,0.6693,0.3782,1
370,13128,0.3075,9,0.5967,0.674,0.2466,0.6599,0
371,11032,0.871,4,0.7275,0.8102,0.7013,0.5407,1
372,19294,0.0413,7,0.2345,0.0623,0.21,0.7078,0
373,19400,0.5594,10,0.0851,0.4921,0.5521,0.0272,1
374,14266,0.1366,9,0.1138,0.6901,0.5174,0.5621,0
375,15895,0.253,9,0.4459,0.4212,0.5786,0.7462,0
376,19723,0.3366,9,0.1402,0.0198,0.2703,0.6534,1
377,16737,0.6214,4,0.6226,0.9636,0.5963,0.8995,0
378,10026,0.5537,10,0.8838,0.991,0.2775,0.705,1
379,9219,0.2468,5,0.7132,0.2542,0.377,0.6947,0
380,8753,0.1331,7,0.7603,0.8063,0.2938,0.5039,1
381,8425,0.6038,8,0.9075,0.1738,0.8603,0.7654,1
382,17401,0.6021,10,0.5413,0.5847,0.8176,0.1887,1
383,17104,0.6052,2,0.0205,0.4429,0.8403,0.4017,1
384,8839,0.0938,6,0.6199,0.2762,0.0615,0.8333,1
385,9241,0.7426,7,0.8235,0.8324,0.4431,0.3988,0
386,16416,0.7326,4,0.2051,0.5083,0.9769,0.3006,1
387,15811,0.7844,7,0.0884,0.7737,0.4023,0.426,0
388,12208,0.7292,1,0.6415,0.9999,0.3167,0.5563,0
389,17704,0.3252,3,0.0595,0.1226,0.7889,0.5222,0
390,18445,0.1345,8,0.5242,0.5235,0.4441,0.0652,1
391,15727,0.8731,3,0.1146,0.8269,0.1145,0.7197,0
392,18280,0.1156,1,0.51,0.2559,0.04,0.1038,0
393,10564,0.54,5,0.7347,0.3685,0.5078,0.6698,0
394,11163,0.2173,2,0.7904,0.8481,0.2907,0.2382,0
395,19223,0.1382,5,0.8694,0.7909,0.5308,0.2998,0
396,19887,0.4722,9,0.9882,0.5442,0.1313,0.9277,1
397,19812,0.9205,4,0.6302,0.1623,0.6316,0.0092,1
398,10816,0.7617,3,0.3724,0.9475,0.3799,0.2563,1
399,17622,0.5769,8,0.6173,0.9251,0.9214,0.6911,1
400,17207,0.6077,5,0.2592,0.9174,0.7221,0.5821,0
401,16414,0.7957,5,0.2756,0.4511,0.0369,0.3487,0
402,14603,0.5068,2,0.5651,0.2867,0.9125,0.0059,0
403,8061,0.6728,1,0.0138,0.7014,0.0184,0.3308,0
404,9418,0.3478,3,0.9675,0.4773,0.8196,0.2676,0
405,17332,0.6447,5,0.7884,0.0086,0.6822,0.4554,1
406,13463,0.2873,3,0.1872,0.5708,0.4575,0.4555,0
407,14202,0.3866,2,0.0271,0.3009,0.897,0.4726,0
408,13299,0.6556,6,0.9455,0.0222,0.6424,0.8407,1
409,14996,0.936,4,0.1264,0.7159,0.5618,0.3872,1
410,16317,0.7166,5,0.3832,0.0422,0.6156,0.7374,0
411,15813,0.6402,8,0.3655,0.2279,0.2809,0.699,0
412,16032,0.0114,4,0.6137,0.9771,0.1463,0.3848,0
413,12185,0.1737,9,0.8928,0.0593,0.5015,0.4232,1
