out_acc_num,no_of_in,distinct_no_of_in,sumin,net_worth,credit_score,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international,label
83,8,7,195256,0.7588,4,0.9131,0.7279,0.3114,0.2128,1
84,5,2,209625,0.0202,7,0.8471,0.7131,0.0252,0.0858,0
85,6,1,112876,0.0661,1,0.2166,0.4144,0.562,0.0128,0
86,6,2,411962,0.9955,10,0.6905,0.9733,0.7214,0.5742,0
87,1,12,199895,0.4226,9,0.7283,0.0149,0.4696,0.0164,0
88,11,11,113983,0.9889,3,0.0374,0.2319,0.7855,0.162,0
89,1,8,319968,0.8725,7,0.0243,0.5959,0.8364,0.0914,1
90,10,10,70613,0.4997,8,0.053,0.4508,0.5053,0.4221,0
91,13,2,275540,0.2555,7,0.2029,0.7036,0.7001,0.8819,1
92,8,13,271938,0.0212,2,0.4987,0.7066,0.5584,0.3854,0
93,15,5,191051,0.5156,5,0.2074,0.7663,0.0017,0.9012,0
94,6,5,460327,0.8176,10,0.0723,0.421,0.4067,0.6818,1
95,2,7,86537,0.5896,8,0.3705,0.4099,0.2587,0.3495,0
96,6,3,390624,0.5839,8,0.7274,0.0762,0.5308,0.6559,1
97,5,1,109992,0.7623,10,0.9392,0.8393,0.8838,0.1085,1
98,15,6,87888,0.9517,1,0.8257,0.0521,0.8181,0.6208,0
99,3,6,164167,0.4992,10,0.0853,0.8226,0.4417,0.3601,0
100,3,8,39303,0.2419,1,0.7837,0.0315,0.5019,0.5614,0
101,11,11,399111,0.9413,1,0.1676,0.6509,0.9153,0.852,1
102,13,8,469918,0.1712,6,0.1826,0.5341,0.1551,0.231,1
103,14,7,205267,0.5408,6,0.3168,0.4708,0.6236,0.146,1
104,7,13,155952,0.1051,10,0.179,0.8025,0.5016,0.2179,1
105,7,7,158780,0.6464,1,0.2767,0.8234,0.249,0.1159,1
106,14,9,445960,0.9299,9,0.0864,0.2177,0.9177,0.4229,1
107,13,12,402032,0.7087,4,0.6116,0.8585,0.5089,0.8271,1
108,3,1,231549,0.9135,5,0.1699,0.6366,0.1215,0.3362,1
109,10,1,135760,0.1318,6,0.3002,0.393,0.9029,0.5454,0
110,4,10,429940,0.9853,7,0.0011,0.5654,0.5458,0.3908,1
111,1,8,227991,0.8547,6,0.4114,0.3991,0.3172,0.4952,1
112,11,6,177399,0.7451,1,0.7575,0.357,0.0508,0.8985,0
113,3,8,59628,0.6072,1,0.3096,0.7317,0.8293,0.7855,0
114,2,1,305672,0.4493,6,0.0128,0.459,0.1006,0.2517,1
115,10,11,107986,0.7006,10,0.2279,0.9306,0.9104,0.1674,1
116,8,6,78648,0.9164,2,0.6068,0.963,0.071,0.9723,0
117,15,2,494328,0.4393,8,0.4555,0.7394,0.5357,0.2511,0
118,3,5,240172,0.953,5,0.0936,0.3917,0.5683,0.4322,1
119,1,1,76824,0.105,5,0.5198,0.4523,0.2447,0.792,0
120,8,12,184132,0.3927,6,0.262,0.1634,0.3978,0.7167,0
121,6,7,387958,0.1793,5,0.4893,0.2777,0.5387,0.6588,0
122,4,9,198087,0.272,5,0.9159,0.9728,0.0872,0.7381,1
123,13,4,73070,0.4608,7,0.1701,0.1444,0.6041,0.8388,1
124,7,13,152345,0.7069,4,0.0585,0.1377,0.9861,0.8334,1
125,5,4,200943,0.0317,2,0.6622,0.229,0.9235,0.538,1
126,11,7,157436,0.6091,7,0.4932,0.5524,0.838,0.682,0
127,14,13,380284,0.8023,4,0.9322,0.903,0.7731,0.9456,1
128,5,2,325043,0.0425,8,0.5386,0.9546,0.5245,0.1675,0
129,14,5,484586,0.3536,2,0.6753,0.9303,0.5248,0.7061,0
130,6,3,280738,0.5119,8,0.1196,0.7004,0.1433,0.2284,1
131,12,13,86081,0.7245,6,0.5606,0.2001,0.711,0.5104,1
132,6,2,175046,0.7817,3,0.5349,0.663,0.3352,0.825,1
133,15,4,199314,0.0523,6,0.5758,0.9704,0.8886,0.4423,0
134,7,6,280595,0.868,6,0.5221,0.4029,0.5691,0.0775,1
135,1,4,305524,0.0775,10,0.2772,0.0066,0.2174,0.9367,0
136,1,5,78687,0.9746,5,0.2774,0.0719,0.6174,0.9805,1
137,10,10,321709,0.3485,9,0.0337,0.4753,0.4259,0.4949,0
138,8,13,270506,0.4452,6,0.677,0.1583,0.4648,0.9354,1
139,3,7,314975,0.334,9,0.8499,0.9024,0.1091,0.8151,1
140,14,9,275582,0.5687,9,0.7438,0.4441,0.5808,0.081,1
141,11,13,344726,0.0204,2,0.0496,0.9337,0.9342,0.8648,0
142,6,4,112328,0.3404,3,0.5415,0.7768,0.1877,0.1634,0
143,13,2,92177,0.5626,8,0.3186,0.2295,0.0975,0.3753,1
144,5,6,123584,0.9547,8,0.4051,0.6844,0.5855,0.8585,1
145,5,12,131177,0.538,7,0.2721,0.9879,0.5647,0.845,1
146,1,7,269903,0.0637,8,0.0837,0.884,0.4456,0.5205,1
147,8,6,219612,0.3006,2,0.5787,0.8369,0.5162,0.1503,0
148,4,2,208239,0.2533,2,0.5091,0.4567,0.6808,0.8585,1
149,15,7,247499,0.7721,9,0.971,0.4359,0.7698,0.3258,0
150,2,2,312158,0.5665,4,0.7565,0.5955,0.9067,0.465,1
151,4,2,114908,0.2835,1,0.3297,0.5116,0.5035,0.1794,1
152,10,10,101500,0.2594,1,0.0774,0.1619,0.1116,0.0088,0
153,5,2,283068,0.4035,2,0.3232,0.4049,0.9095,0.363,0
154,6,8,413503,0.7885,8,0.4266,0.8934,0.0258,0.3219,1
155,13,7,400670,0.0469,4,0.2174,0.2698,0.0119,0.1304,0
156,8,6,478597,0.1522,6,0.9115,0.7554,0.8031,0.342,1
157,14,12,238036,0.5883,7,0.9978,0.8624,0.0125,0.2091,1
158,5,2,262897,0.1447,4,0.911,0.8134,0.6357,0.2851,1
159,14,10,334888,0.3401,7,0.9363,0.3736,0.0233,0.4209,0
160,1,4,396868,0.3535,9,0.2557,0.2849,0.6586,0.8907,0
161,2,12,123307,0.8892,5,0.0432,0.2033,0.4663,0.6723,1
162,15,13,404279,0.433,7,0.3076,0.1417,0.8477,0.141,0
163,9,11,298328,0.0506,10,0.8766,0.8261,0.3383,0.2599,1
164,11,1,286073,0.1512,6,0.8055,0.1381,0.9317,0.207,1
165,11,9,104403,0.219,5,0.5296,0.0359,0.2857,0.9184,0
166,9,3,222321,0.1278,6,0.2497,0.6773,0.5584,0.6294,0
167,7,3,423158,0.7541,7,0.4169,0.9337,0.4506,0.566,1
168,7,11,78757,0.3092,1,0.3518,0.3203,0.3935,0.3255,0
169,9,1,487870,0.1275,2,0.288,0.8352,0.1188,0.1175,1
170,3,9,144514,0.2522,9,0.8095,0.9078,0.4432,0.8873,1
171,15,5,134794,0.8353,9,0.1426,0.4133,0.5095,0.0061,0
172,8,9,333502,0.5362,4,0.2819,0.2243,0.9816,0.151,0
173,6,12,219187,0.514,2,0.6572,0.1679,0.9818,0.2227,1
174,13,9,253940,0.1681,9,0.0217,0.2909,0.5994,0.2907,1
175,10,2,88867,0.6103,9,0.6713,0.354,0.5039,0.3978,1
176,4,5,88444,0.024,8,0.6818,0.7553,0.3752,0.5629,0
177,4,12,268391,0.7129,5,0.8306,0.3279,0.2076,0.0531,0
178,1,6,400151,0.2386,4,0.5985,0.4915,0.0829,0.437,0
179,6,12,236277,0.3974,8,0.7029,0.1249,0.5133,0.4587,1
180,14,7,333711,0.2059,7,0.6634,0.7987,0.9065,0.4102,0
181,4,9,245281,0.4505,7,0.4073,0.5397,0.5064,0.9607,1
182,8,7,296672,0.4713,4,0.9546,0.1198,0.6848,0.9858,0
183,9,5,88346,0.027,1,0.8406,0.2689,0.5493,0.1279,1
184,9,6,53560,0.4575,3,0.6875,0.5433,0.684,0.6266,1
185,15,10,499003,0.663,2,0.3087,0.1119,0.9833,0.464,0
186,5,8,122001,0.2347,1,0.9431,0.6921,0.7578,0.5591,1
187,13,7,290357,0.4882,1,0.8121,0.1272,0.4243,0.8208,0
188,5,12,108783,0.6807,2,0.5443,0.9492,0.3991,0.4893,1
189,14,10,80709,0.2109,2,0.3804,0.0858,0.9173,0.7414,0
190,15,2,205797,0.0254,4,0.3344,0.4693,0.8396,0.7862,1
191,6,7,203722,0.1277,4,0.2458,0.1492,0.1845,0.9957,0
192,7,6,189894,0.7163,2,0.7068,0.099,0.3861,0.3641,1
193,1,5,69375,0.4933,1,0.871,0.9437,0.5321,0.105,1
194,1,1,369064,0.0874,10,0.0405,0.9504,0.9835,0.8644,1
195,13,11,459029,0.0106,9,0.0852,0.2846,0.2208,0.3898,0
196,3,9,342523,0.7891,5,0.9047,0.6138,0.6572,0.2568,1
197,4,3,296112,0.5899,5,0.0046,0.0659,0.4231,0.1464,1
198,3,9,231932,0.8942,2,0.3327,0.7222,0.0439,0.1621,0
199,9,12,121760,0.1241,4,0.6104,0.9905,0.7658,0.2289,1
200,11,3,396941,0.0567,9,0.2999,0.3127,0.2604,0.5324,1
201,3,13,155989,0.9098,2,0.1788,0.8076,0.7915,0.5367,0
202,3,11,50658,0.759,5,0.8255,0.7844,0.937,0.2538,1
203,5,8,445948,0.5295,4,0.3055,0.6642,0.697,0.5028,1
204,14,2,324192,0.0556,9,0.4116,0.8805,0.1762,0.3259,1
205,10,4,103287,0.8202,1,0.0683,0.7373,0.7473,0.295,0
206,6,8,495159,0.8347,9,0.8888,0.8713,0.1654,0.9678,0
207,5,6,202094,0.1876,1,0.1317,0.4485,0.3121,0.3267,0
208,1,7,430599,0.3567,3,0.9693,0.963,0.6608,0.3593,0
209,11,7,401206,0.7201,9,0.6944,0.0482,0.5284,0.0905,1
210,6,3,436684,0.7759,8,0.8287,0.1778,0.7269,0.9109,0
211,8,4,409420,0.1452,5,0.4736,0.0126,0.5662,0.8579,0
212,2,13,233673,0.0434,8,0.4389,0.8942,0.8949,0.0648,1
213,13,1,400033,0.136,3,0.1495,0.6393,0.4283,0.4396,0
214,2,6,383940,0.4588,9,0.0457,0.7079,0.4338,0.9078,0
215,6,1,287799,0.2002,9,0.1522,0.8237,0.5575,0.9575,0
216,1,3,94736,0.9622,3,0.9272,0.1498,0.7476,0.6385,1
217,6,3,99132,0.903,5,0.2977,0.0333,0.8802,0.4941,1
218,8,13,256826,0.3943,8,0.1639,0.1635,0.0693,0.2468,1
219,9,5,419625,0.6538,7,0.1597,0.8802,0.123,0.7849,0
220,9,13,104941,0.2032,1,0.1814,0.8966,0.9723,0.5365,0
221,10,10,91649,0.5063,5,0.2045,0.5742,0.1479,0.9232,0
222,1,3,362314,0.0449,5,0.4725,0.0558,0.819,0.8918,0
223,3,5,240109,0.5654,2,0.7837,0.6106,0.5524,0.2123,0
224,8,12,192635,0.805,5,0.3318,0.3877,0.929,0.9717,1
225,15,13,412338,0.5032,3,0.1443,0.413,0.6073,0.8658,1
226,13,4,483967,0.7213,1,0.8789,0.8611,0.0637,0.1282,1
227,12,8,205383,0.9452,7,0.796,0.456,0.6311,0.7546,1
228,6,2,309455,0.732,3,0.1619,0.8186,0.544,0.8235,1
229,11,7,363800,0.225,5,0.3085,0.4752,0.645,0.7541,0
230,12,3,314255,0.001,7,0.4598,0.429,0.6876,0.4792,1
231,15,10,467525,0.86,1,0.8416,0.0384,0.6096,0.262,0
232,15,1,176442,0.3694,7,0.5521,0.5657,0.2562,0.4426,0
233,7,9,370013,0.6248,7,0.4671,0.747,0.5738,0.8961,1
234,3,7,351900,0.3252,7,0.6697,0.6198,0.6931,0.8952,0
235,9,6,367134,0.9181,1,0.5792,0.1547,0.8388,0.5475,1
236,11,11,33841,0.6103,6,0.0488,0.4214,0.6505,0.4755,1
237,13,12,327043,0.3439,1,0.9957,0.7487,0.0425,0.4428,0
238,10,12,125867,0.4917,1,0.8052,0.5033,0.1159,0.8754,1
239,10,2,220736,0.8689,9,0.4445,0.9271,0.7704,0.5955,1
240,3,4,109208,0.0541,7,0.7239,0.3829,0.2363,0.855,0
241,7,9,43449,0.8166,9,0.9865,0.4724,0.8658,0.1218,1
242,12,6,184053,0.0357,4,0.5024,0.5753,0.2268,0.6852,1
243,13,1,307458,0.9188,2,0.1293,0.1439,0.7082,0.66,1
244,9,5,340705,0.2256,3,0.6387,0.0113,0.1808,0.8799,1
245,14,10,78382,0.9089,6,0.5332,0.244,0.366,0.9919,0
246,3,1,36925,0.7514,8,0.1683,0.8227,0.4771,0.6824,0
247,3,2,50047,0.3006,9,0.5119,0.2043,0.1168,0.1782,0
248,11,11,427993,0.1038,3,0.1617,0.2173,0.5082,0.6386,0
249,9,7,248845,0.6058,10,0.4336,0.5733,0.814,0.8231,0
250,12,6,439675,0.0931,10,0.747,0.3711,0.0071,0.6518,1
251,12,2,427043,0.9645,7,0.2682,0.6732,0.9524,0.3258,1
252,13,9,449971,0.4623,7,0.391,0.8758,0.8421,0.4315,0
253,6,10,415090,0.181,8,0.2556,0.9941,0.8976,0.0472,0
254,13,2,176782,0.5091,6,0.383,0.9321,0.835,0.0364,0
255,1,10,369397,0.9702,5,0.9429,0.5594,0.6622,0.5565,1
256,13,1,312145,0.8578,2,0.9907,0.1807,0.5123,0.0298,1
257,3,3,299807,0.4297,7,0.9896,0.9532,0.8099,0.9625,0
258,14,10,33056,0.4349,9,0.3448,0.5336,0.5753,0.417,1
259,7,2,130622,0.7026,10,0.759,0.5757,0.8347,0.5448,0
260,11,5,382674,0.2094,5,0.7651,0.949,0.1107,0.9336,0
261,11,13,317827,0.3145,3,0.6968,0.071,0.9368,0.0794,1
262,7,2,297686,0.2926,10,0.869,0.5555,0.1419,0.7425,1
263,12,1,139115,0.6166,1,0.0139,0.5668,0.5719,0.2611,0
264,5,10,78173,0.7402,4,0.4387,0.8553,0.8938,0.8324,1
265,8,8,304155,0.8639,9,0.6517,0.4622,0.2308,0.0778,0
266,3,12,372461,0.609,3,0.1753,0.7092,0.5047,0.5241,0
267,3,13,363468,0.4195,1,0.0091,0.1987,0.9792,0.1562,1
268,15,10,484656,0.5888,5,0.261,0.2421,0.8114,0.4679,1
269,3,3,370334,0.8287,7,0.5718,0.9905,0.3396,0.1723,1
270,1,4,428258,0.3615,1,0.9821,0.1045,0.5988,0.851,0
271,2,6,354007,0.9954,6,0.74,0.1928,0.8114,0.5721,1
272,1,2,142272,0.1128,3,0.0038,0.5184,0.26,0.3124,0
273,5,9,318393,0.5188,8,0.1139,0.9955,0.3003,0.4097,0
274,10,9,455841,0.593,10,0.8532,0.3607,0.2667,0.6535,0
275,5,10,457913,0.0166,1,0.1471,0.5519,0.9061,0.3514,1
276,10,5,263324,0.72,5,0.6829,0.6956,0.5944,0.7145,0
277,15,9,166192,0.9321,10,0.9723,0.2604,0.5965,0.3126,0
278,3,6,369842,0.7813,1,0.526,0.5621,0.1753,0.5229,0
279,5,5,286349,0.411,2,0.4713,0.6695,0.7392,0.7553,0
280,7,10,239551,0.4543,1,0.5021,0.8103,0.7293,0.6856,1
281,2,12,433080,0.2396,1,0.8112,0.8806,0.0604,0.3597,0
282,5,9,216162,0.4425,1,0.4339,0.5454,0.0262,0.1848,1
283,6,1,49564,0.7554,4,0.4724,0.4551,0.9017,0.7951,1
284,4,13,476296,0.3856,9,0.7161,0.8199,0.7495,0.7314,1
285,9,4,265029,0.401,5,0.7125,0.9611,0.4067,0.6326,0
286,6,11,197847,0.5174,7,0.2043,0.0344,0.2947,0.9417,1
287,10,8,86861,0.7733,10,0.8527,0.2089,0.2936,0.3302,0
288,9,9,446425,0.1942,9,0.2641,0.8205,0.9196,0.2819,0
289,8,12,142061,0.58,1,0.3568,0.1523,0.1267,0.7324,1
290,6,6,118147,0.1818,7,0.2998,0.7271,0.1035,0.1544,1
291,7,3,466310,0.7449,5,0.9632,0.3507,0.2552,0.6575,1
292,14,6,426105,0.6059,7,0.243,0.1845,0.1397,0.5946,1
293,2,9,408207,0.7887,9,0.7386,0.754,0.8992,0.7986,1
294,2,12,216125,0.1284,7,0.8149,0.5599,0.5259,0.2784,0
295,15,2,410711,0.4492,6,0.8721,0.5628,0.161,0.8616,1
296,6,5,160975,0.7747,5,0.8697,0.0565,0.5978,0.6475,0
297,15,2,465527,0.5976,4,0.4024,0.8862,0.8636,0.1391,1
298,7,1,483860,0.9401,9,0.2028,0.5295,0.4334,0.5587,1
299,11,5,136878,0.9202,10,0.469,0.0167,0.6856,0.0972,0
300,9,13,63441,0.341,5,0.9967,0.3646,0.1775,0.3638,1
301,3,4,244608,0.0008,10,0.503,0.2311,0.0404,0.8454,1
302,12,3,97003,0.9964,2,0.5701,0.0106,0.6472,0.17,0
303,4,9,48155,0.3531,4,0.1193,0.8395,0.6097,0.5185,0
304,4,3,60700,0.2041,9,0.4281,0.397,0.2332,0.6836,0
305,3,8,378648,0.2913,2,0.2402,0.1976,0.4341,0.5421,0
306,13,7,269622,0.7663,2,0.0869,0.2841,0.5403,0.8734,0
307,9,7,469177,0.5105,10,0.2128,0.7692,0.5354,0.7124,1
308,14,3,493464,0.0701,5,0.3852,0.669,0.592,0.7129,0
309,11,8,439314,0.0327,7,0.2441,0.9141,0.7263,0.2882,1
310,9,4,217366,0.8362,3,0.8817,0.9754,0.9213,0.4105,1
311,12,11,251450,0.3833,9,0.2743,0.4316,0.3028,0.6293,1
312,9,11,343108,0.0422,3,0.4613,0.7497,0.7649,0.534,1
313,14,6,262672,0.2398,8,0.0562,0.8754,0.8006,0.2637,0
314,1,3,230709,0.9861,1,0.8657,0.8974,0.3581,0.7549,1
315,14,5,35144,0.1883,2,0.0816,0.3004,0.6253,0.9745,1
316,1,12,271839,0.2877,10,0.537,0.3106,0.6037,0.6843,0
317,8,6,166813,0.2993,5,0.245,0.0501,0.0352,0.262,0
318,9,7,245062,0.5172,10,0.3228,0.8288,0.5287,0.2752,0
319,12,10,403209,0.6129,9,0.992,0.0709,0.3168,0.3967,0
320,7,10,163930,0.024,9,0.8893,0.7965,0.4113,0.8627,1
321,12,10,384557,0.1179,4,0.3579,0.075,0.6398,0.6913,1
322,14,1,133862,0.9619,6,0.0521,0.2895,0.1258,0.9587,1
323,7,8,141059,0.3555,1,0.7795,0.8867,0.5597,0.704,1
324,13,9,66667,0.5441,7,0.8193,0.9147,0.5,0.5115,1
325,13,8,255371,0.424,5,0.0598,0.326,0.5028,0.9389,0
326,5,8,141235,0.2671,5,0.1206,0.1272,0.1953,0.5307,0
327,11,9,294939,0.6105,2,0.7655,0.4591,0.0617,0.4698,1
328,3,11,304260,0.1517,5,0.4449,0.5875,0.8763,0.8965,1
329,15,2,249926,0.5727,5,0.817,0.9202,0.6757,0.0511,0
330,12,8,55953,0.0706,5,0.9965,0.345,0.395,0.6998,0
331,11,10,208845,0.0526,3,0.8151,0.0788,0.169,0.0916,0
332,2,2,242012,0.0353,7,0.532,0.7552,0.907,0.3431,1
333,6,8,372657,0.0041,4,0.9774,0.0163,0.3771,0.7497,1
334,2,9,450615,0.9528,8,0.968,0.8344,0.0867,0.3672,1
335,3,7,96816,0.3092,4,0.1546,0.1088,0.8301,0.2617,0
336,1,11,305152,0.4365,8,0.5801,0.7475,0.0961,0.4626,0
337,9,2,238295,0.8903,3,0.1947,0.1563,0.9941,0.6368,0
338,9,11,91078,0.9193,8,0.7303,0.2943,0.7686,0.2255,0
339,14,3,64937,0.8217,7,0.3056,0.8424,0.7254,0.8139,0
340,11,7,332328,0.6069,10,0.3116,0.7298,0.9279,0.2825,0
341,13,7,97315,0.3457,4,0.9393,0.7673,0.2428,0.6804,0
342,14,4,343712,0.8424,6,0.9631,0.0807,0.1499,0.9058,1
343,7,12,357093,0.9879,5,0.1127,0.4227,0.3597,0.9836,1
344,6,7,71139,0.835,4,0.4919,0.8331,0.3304,0.6057,1
345,3,13,170305,0.4668,2,0.4043,0.7515,0.5166,0.0139,1
346,11,11,322827,0.2889,2,0.0862,0.987,0.1135,0.3913,1
347,8,3,253659,0.566,4,0.0552,0.7163,0.9223,0.6441,0
348,13,1,329431,0.8208,5,0.413,0.7126,0.4284,0.8273,1
349,6,7,467663,0.871,3,0.9878,0.7609,0.0777,0.0755,1
350,1,9,110361,0.7072,8,0.1736,0.1321,0.3927,0.6464,0
351,2,2,496880,0.4805,5,0.1499,0.4578,0.4095,0.4517,1
352,6,10,247145,0.723,5,0.8818,0.3774,0.7475,0.2294,1
353,15,2,79049,0.041,2,0.195,0.9967,0.0912,0.4064,1
354,7,8,431510,0.1222,8,0.1244,0.9134,0.0328,0.2692,0
355,15,7,297319,0.7127,3,0.201,0.2901,0.0946,0.7552,1
356,7,1,332329,0.9578,2,0.1833,0.88,0.0909,0.218,0
357,6,8,253530,0.1134,10,0.1506,0.3082,0.3529,0.2221,0
358,11,8,198289,0.9185,10,0.6378,0.3553,0.5948,0.1681,0
359,15,4,380153,0.3126,8,0.609,0.074,0.4527,0.2779,1
360,1,9,30088,0.4394,1,0.7092,0.339,0.2537,0.9082,0
361,8,5,85828,0.3691,5,0.8782,0.0801,0.2335,0.6116,1
362,5,12,50091,0.6462,3,0.4244,0.194,0.9426,0.9336,1
363,8,7,299592,0.3175,5,0.3617,0.3232,0.0401,0.1315,1
364,2,3,84960,0.6071,1,0.8498,0.5794,0.2552,0.594,1
365,13,9,413742,0.9349,9,0.3028,0.3517,0.891,0.6909,0
366,10,6,394037,0.3362,1,0.9668,0.7719,0.2084,0.9422,1
367,13,8,131201,0.8716,1,0.8173,0.6564,0.9132,0.9697,0
368,14,9,235771,0.2057,1,0.5122,0.7514,0.8998,0.6584,0
