out_acc_num,net_worth,credit_score,sum_transactionamount,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international,label
167,0.233,4,66087,0.3488,0.8317,0.6951,0.2606,1
168,0.6106,4,479236,0.9865,0.565,0.3677,0.9589,1
169,0.4766,2,391431,0.3989,0.1283,0.3951,0.8775,0
170,0.1951,3,215029,0.7334,0.1453,0.1379,0.5283,0
171,0.5756,2,484871,0.2102,0.4933,0.3232,0.685,0
172,0.63,3,220297,0.7961,0.7525,0.8468,0.822,0
173,0.9293,4,227987,0.9331,0.0279,0.4164,0.4621,1
174,0.1622,8,85879,0.1019,0.2684,0.3374,0.3554,0
175,0.0125,6,369126,0.3075,0.6838,0.7987,0.5979,0
176,0.3255,1,105503,0.9849,0.333,0.8753,0.4716,1
177,0.6799,8,466102,0.5286,0.4595,0.5176,0.3187,1
178,0.5358,8,475967,0.0572,0.9488,0.8229,0.8235,0
179,0.9394,5,154385,0.1413,0.0166,0.398,0.5029,1
180,0.2192,6,142514,0.5462,0.716,0.7513,0.08,0
181,0.1942,9,214018,0.6476,0.185,0.0345,0.4031,0
182,0.1686,3,364556,0.5923,0.5313,0.2746,0.4353,1
183,0.8143,1,74223,0.6304,0.8327,0.9663,0.4668,0
184,0.4772,6,321596,0.5348,0.8777,0.1055,0.6346,1
185,0.0266,8,389158,0.6526,0.5606,0.3086,0.4686,1
186,0.0651,8,399339,0.2024,0.1649,0.098,0.4042,0
187,0.0167,3,219042,0.6963,0.3866,0.6471,0.5027,0
188,0.2817,7,203578,0.4094,0.1811,0.2464,0.3893,1
189,0.3165,8,82266,0.6989,0.1731,0.2514,0.192,0
190,0.6915,4,373468,0.1949,0.9892,0.6679,0.8552,0
191,0.0827,10,351909,0.6399,0.5654,0.8239,0.6163,1
192,0.4846,2,389647,0.1872,0.9932,0.2555,0.6225,0
193,0.9238,4,111736,0.575,0.9511,0.4789,0.5663,1
194,0.5328,10,466152,0.9379,0.4193,0.2801,0.247,0
195,0.1941,1,282245,0.4475,0.3441,0.9569,0.7249,1
196,0.8045,8,253866,0.5835,0.9809,0.7537,0.7888,0
197,0.5939,6,106054,0.8291,0.0521,0.424,0.3947,1
198,0.633,7,422303,0.1962,0.2013,0.5562,0.0128,0
199,0.9332,1,330964,0.4383,0.2679,0.3536,0.2857,0
200,0.4839,5,181775,0.1252,0.2474,0.6394,0.0841,0
201,0.6437,7,387202,0.4869,0.1677,0.2906,0.6627,0
202,0.0692,6,221424,0.7564,0.2629,0.4048,0.3391,1
203,0.7084,2,262368,0.5898,0.4104,0.1366,0.8517,0
204,0.6662,1,301717,0.5943,0.0388,0.4665,0.8213,1
205,0.6628,9,113520,0.8072,0.7673,0.1081,0.4151,1
206,0.885,10,247424,0.6815,0.7628,0.0401,0.0927,0
207,0.9739,5,70973,0.0708,0.0017,0.8782,0.2551,1
208,0.0415,6,86001,0.4061,0.3658,0.9724,0.7785,0
209,0.4753,7,30682,0.5523,0.3726,0.7647,0.4143,0
210,0.0521,1,302710,0.3223,0.0902,0.287,0.6263,1
211,0.4989,6,60554,0.0912,0.3651,0.9103,0.6077,0
212,0.144,6,168743,0.94,0.9639,0.103,0.9522,0
213,0.4578,3,253863,0.9107,0.7193,0.5948,0.2706,0
214,0.4724,2,329112,0.3741,0.3165,0.2514,0.5818,1
215,0.2567,2,288107,0.459,0.5737,0.3913,0.5392,1
216,0.8983,1,451014,0.9571,0.6426,0.8141,0.18,0
217,0.2075,1,246404,0.5021,0.9389,0.2249,0.8327,0
218,0.6151,6,52471,0.375,0.5517,0.1049,0.001,1
219,0.7842,8,69400,0.3534,0.9694,0.6514,0.3014,1
220,0.3082,8,363656,0.4826,0.1006,0.6366,0.313,1
221,0.1264,5,383203,0.0997,0.0196,0.2077,0.6974,0
222,0.0735,9,397586,0.4795,0.3169,0.7131,0.5641,1
223,0.1699,8,56293,0.259,0.6309,0.2063,0.6813,0
224,0.4018,1,465729,0.1551,0.0587,0.3897,0.8678,1
225,0.5286,2,389553,0.0051,0.7625,0.4341,0.0143,1
226,0.5488,9,86349,0.3173,0.674,0.0932,0.7952,0
227,0.9068,6,278601,0.9243,0.6767,0.6874,0.1132,1
228,0.4923,2,273651,0.0453,0.4927,0.76,0.2922,1
229,0.1306,8,222931,0.8763,0.8899,0.371,0.1503,0
230,0.3705,9,63047,0.0304,0.2982,0.3633,0.6504,0
231,0.9443,2,234823,0.2999,0.0735,0.8665,0.3485,0
232,0.8402,4,67816,0.7058,0.5626,0.6684,0.2353,0
233,0.7556,8,223222,0.1395,0.9729,0.0188,0.257,1
234,0.647,3,413853,0.3522,0.3712,0.4225,0.0702,0
235,0.1407,7,274330,0.6902,0.0356,0.2463,0.3976,0
236,0.8138,1,114601,0.37,0.1103,0.713,0.9717,1
237,0.7318,9,437818,0.8432,0.1655,0.4426,0.6337,0
238,0.9698,1,408751,0.2836,0.5249,0.8003,0.677,1
239,0.0804,2,275735,0.7717,0.6533,0.6959,0.9923,0
240,0.2161,2,169690,0.2814,0.0211,0.683,0.8358,0
241,0.5332,8,390398,0.6082,0.5277,0.601,0.636,1
242,0.7952,8,84317,0.6089,0.6959,0.3487,0.2756,0
243,0.7841,2,469651,0.5066,0.7586,0.7118,0.6731,1
244,0.5669,4,240761,0.4101,0.9037,0.6136,0.9359,0
245,0.448,2,166992,0.6322,0.8705,0.0095,0.3698,0
246,0.8741,5,165467,0.1879,0.9679,0.5574,0.6862,0
247,0.1167,3,321953,0.2258,0.3844,0.7834,0.3508,1
248,0.0772,3,116558,0.3508,0.5591,0.3692,0.5785,1
249,0.9622,6,62889,0.219,0.1591,0.0259,0.5308,0
250,0.1237,1,196432,0.2763,0.207,0.4684,0.86,0
251,0.4014,8,361547,0.8089,0.6737,0.7235,0.1379,0
252,0.4578,6,416095,0.6456,0.5694,0.518,0.459,1
253,0.8643,10,148250,0.516,0.0294,0.7453,0.1353,0
254,0.26,6,393897,0.3953,0.3146,0.3226,0.1095,0
255,0.6637,7,488380,0.082,0.554,0.0902,0.7695,1
256,0.8555,8,337108,0.8513,0.9831,0.7563,0.3545,1
257,0.6031,5,252388,0.7545,0.604,0.0077,0.6041,0
258,0.4754,8,180342,0.2848,0.1059,0.2549,0.7561,1
259,0.4407,10,250110,0.7194,0.448,0.9489,0.186,0
260,0.5374,10,399202,0.4178,0.4354,0.2519,0.0766,0
261,0.8011,4,335650,0.2327,0.7805,0.2409,0.8946,0
262,0.3084,4,132474,0.2913,0.7772,0.5664,0.7512,0
263,0.8614,6,397702,0.8786,0.2738,0.0432,0.5454,0
264,0.7218,7,292908,0.6508,0.1086,0.1888,0.114,0
265,0.9133,2,350285,0.9633,0.1133,0.9875,0.7424,0
266,0.2704,4,49224,0.3921,0.8314,0.0305,0.5879,1
267,0.9239,4,68335,0.1651,0.5536,0.1992,0.6794,0
268,0.9285,9,290267,0.8679,0.3725,0.7431,0.4525,0
269,0.0152,8,271565,0.8894,0.091,0.7824,0.7915,0
270,0.7694,10,395205,0.5221,0.6869,0.4067,0.0973,1
271,0.1,3,377755,0.4246,0.5044,0.8144,0.3055,1
272,0.1365,5,391523,0.9724,0.4192,0.461,0.1244,1
273,0.7756,8,348337,0.517,0.2061,0.8694,0.647,1
274,0.9735,4,456988,0.8657,0.6101,0.6424,0.3677,0
275,0.2249,6,56607,0.67,0.2271,0.8139,0.1732,0
276,0.3952,10,339424,0.97,0.783,0.8884,0.0716,1
277,0.7784,3,194547,0.4349,0.237,0.4743,0.6431,1
278,0.1818,6,388100,0.31,0.6936,0.1311,0.8428,1
279,0.1365,3,278618,0.2877,0.5659,0.8564,0.3033,0
280,0.8483,6,445433,0.6712,0.6128,0.5545,0.4738,1
281,0.1477,3,47844,0.8997,0.341,0.9402,0.7142,0
282,0.0428,10,315054,0.451,0.9962,0.7105,0.8874,1
283,0.0438,9,450695,0.994,0.4537,0.7976,0.8508,1
284,0.3928,8,435945,0.7634,0.6028,0.8334,0.4717,1
285,0.7079,10,127894,0.3676,0.8124,0.2367,0.5806,1
286,0.188,2,490821,0.7056,0.1188,0.4596,0.4606,1
287,0.1884,2,202679,0.4316,0.3473,0.9247,0.47,0
288,0.8314,5,278827,0.2566,0.2942,0.4219,0.7037,0
289,0.9636,8,344521,0.9481,0.3182,0.4816,0.5725,0
290,0.5122,10,446013,0.9245,0.3662,0.4667,0.9437,0
291,0.6802,10,327977,0.0645,0.1012,0.1386,0.8689,1
292,0.8615,3,308564,0.5647,0.3831,0.3495,0.9921,1
293,0.33,2,142487,0.0022,0.7685,0.7087,0.8639,0
294,0.5198,8,273013,0.3958,0.5314,0.9891,0.6976,1
295,0.8823,2,235127,0.5359,0.8674,0.5668,0.8128,1
296,0.0252,10,333366,0.46,0.2294,0.6381,0.2016,1
297,0.1361,9,109709,0.8702,0.4756,0.6942,0.7052,0
298,0.2611,8,119156,0.1086,0.0699,0.7057,0.4245,0
299,0.2186,3,65566,0.6512,0.9478,0.2755,0.9008,0
300,0.1698,6,37137,0.2179,0.9263,0.9622,0.3088,0
301,0.538,6,319630,0.415,0.4625,0.6372,0.6901,0
302,0.4473,10,278952,0.4198,0.8417,0.4165,0.7088,0
303,0.0977,9,298835,0.3686,0.326,0.0031,0.1482,0
304,0.486,5,192755,0.5806,0.435,0.4447,0.1173,1
305,0.6924,1,332549,0.1635,0.4388,0.5449,0.7382,0
306,0.8018,1,276027,0.8157,0.697,0.5563,0.7581,1
307,0.1806,10,259767,0.198,0.0874,0.4226,0.707,0
308,0.9921,8,193959,0.6609,0.0661,0.8409,0.0406,0
309,0.4888,1,281373,0.8618,0.7659,0.1668,0.5742,0
310,0.6879,8,372713,0.7913,0.541,0.877,0.2938,1
311,0.1371,5,236958,0.3035,0.6947,0.7442,0.1607,1
312,0.5458,8,324958,0.3297,0.1905,0.6408,0.7481,1
313,0.4641,10,444672,0.5908,0.8682,0.3814,0.3843,1
314,0.2164,5,175697,0.7479,0.348,0.7048,0.9649,1
315,0.3023,8,337955,0.0108,0.9034,0.392,0.0508,0
316,0.2227,9,148345,0.6788,0.8981,0.1079,0.2178,0
317,0.64,7,315901,0.1823,0.2961,0.0325,0.027,1
318,0.0473,8,316667,0.0369,0.7001,0.3168,0.053,0
319,0.6316,1,222620,0.2506,0.9709,0.339,0.9215,0
320,0.2122,9,476541,0.7345,0.2133,0.9442,0.5799,1
321,0.9934,3,72500,0.8095,0.0498,0.7132,0.1346,1
322,0.6538,7,104098,0.1035,0.7199,0.3278,0.0442,0
323,0.2789,3,125295,0.3716,0.8458,0.2759,0.6078,0
324,0.5111,7,62354,0.496,0.9394,0.3087,0.6313,0
325,0.8832,4,323485,0.8103,0.247,0.4396,0.9478,0
326,0.1571,4,426193,0.5483,0.6527,0.9165,0.9451,0
327,0.5916,7,320610,0.0949,0.2225,0.6589,0.0183,1
328,0.2629,10,189808,0.3365,0.8062,0.3533,0.6062,0
329,0.301,10,257629,0.6698,0.1694,0.6923,0.879,0
330,0.9018,1,304852,0.7226,0.2092,0.8424,0.1986,0
331,0.367,7,260578,0.5885,0.5694,0.704,0.7415,1
332,0.3258,8,31503,0.8778,0.5358,0.1489,0.1805,0
333,0.3449,8,475684,0.6537,0.3726,0.5969,0.2813,1
334,0.8545,9,484254,0.8395,0.5144,0.3955,0.5551,0
335,0.2122,10,403699,0.9318,0.2103,0.348,0.7065,1
336,0.179,4,137187,0.4078,0.2656,0.418,0.5796,1
337,0.466,2,211966,0.1588,0.4065,0.0522,0.183,1
338,0.6047,5,453926,0.4494,0.715,0.7945,0.4094,1
339,0.7449,6,320425,0.3588,0.7759,0.9518,0.2101,1
340,0.6532,4,298328,0.5925,0.2533,0.3805,0.7113,0
341,0.9622,6,230270,0.2362,0.3986,0.2257,0.2546,0
342,0.3158,2,78421,0.5756,0.0522,0.2396,0.7002,0
343,0.6913,6,162893,0.8706,0.7906,0.774,0.4827,1
344,0.5797,9,344059,0.6361,0.0162,0.5262,0.5296,1
345,0.5676,2,325233,0.0141,0.5953,0.015,0.8746,0
346,0.2237,1,465221,0.0253,0.7405,0.4899,0.8978,1
347,0.1014,6,219503,0.6436,0.5166,0.6965,0.8865,0
348,0.0099,4,129710,0.9576,0.1337,0.0239,0.7182,1
349,0.3244,6,68441,0.6085,0.528,0.6574,0.3735,0
350,0.868,1,168523,0.3655,0.8982,0.9902,0.4887,0
351,0.7775,2,241017,0.5685,0.6647,0.1717,0.7326,0
352,0.6889,1,342782,0.7645,0.4451,0.7253,0.7469,1
353,0.9113,7,306634,0.5795,0.0722,0.6122,0.0546,0
354,0.0727,4,409080,0.8799,0.5677,0.8072,0.3199,1
355,0.7909,10,432617,0.7285,0.0133,0.736,0.3399,0
356,0.3601,1,369583,0.3643,0.4416,0.7023,0.8303,0
357,0.5842,7,327599,0.2594,0.766,0.7141,0.7843,0
358,0.1705,3,336505,0.702,0.0935,0.2149,0.7886,0
359,0.3778,5,200778,0.6433,0.4756,0.7189,0.2185,1
360,0.584,9,484218,0.9213,0.9863,0.9765,0.2135,1
361,0.0172,5,174143,0.0468,0.3002,0.0362,0.3645,0
362,0.3348,2,473066,0.6003,0.6823,0.5478,0.0753,1
363,0.7566,6,245119,0.0077,0.6411,0.1889,0.5086,0
364,0.9791,3,348535,0.1028,0.138,0.3669,0.8235,1
365,0.544,8,392918,0.0156,0.3928,0.9192,0.0056,0
366,0.8978,10,103489,0.8253,0.3642,0.9667,0.5231,0
367,0.1279,6,375580,0.1887,0.3372,0.128,0.4357,1
368,0.4623,5,172342,0.3405,0.5646,0.3128,0.1441,1
369,0.9112,10,154194,0.9831,0.4696,0.769,0.7923,1
370,0.8802,9,413872,0.0896,0.2936,0.0213,0.0661,0
371,0.2245,2,160749,0.8048,0.9278,0.6407,0.2961,0
372,0.6758,2,89881,0.7592,0.1096,0.0206,0.7033,1
373,0.0716,1,277175,0.307,0.1298,0.3422,0.2873,0
374,0.8644,8,261650,0.9676,0.6002,0.7343,0.833,0
375,0.9834,1,271880,0.4595,0.9875,0.5115,0.5122,0
376,0.4457,9,462002,0.6644,0.9068,0.8593,0.6553,0
377,0.5913,2,79888,0.8282,0.7323,0.2104,0.3115,1
378,0.3216,8,325143,0.8337,0.4661,0.5344,0.2613,1
379,0.1664,10,311166,0.1466,0.3608,0.5522,0.883,1
380,0.6553,6,474287,0.1297,0.4379,0.0866,0.2021,0
381,0.6945,7,303977,0.7706,0.9327,0.3612,0.2464,0
382,0.0731,9,184928,0.8201,0.3213,0.2585,0.4363,1
383,0.95,8,193066,0.8767,0.819,0.5693,0.8026,0
384,0.5865,3,294396,0.9677,0.7524,0.2659,0.0121,0
385,0.8003,6,301895,0.8279,0.7259,0.9258,0.8573,1
386,0.7566,4,414808,0.3997,0.3725,0.3314,0.7988,1
387,0.9514,2,195030,0.0586,0.778,0.3994,0.9323,0
388,0.9458,5,285040,0.5683,0.8018,0.4642,0.5932,1
389,0.4844,9,354013,0.7517,0.8586,0.6718,0.7761,0
390,0.6817,6,411919,0.117,0.0345,0.2841,0.5688,0
391,0.5307,9,234953,0.4452,0.8355,0.661,0.6077,0
392,0.0126,2,241225,0.6807,0.1742,0.7188,0.8811,0
393,0.8078,9,331664,0.4287,0.844,0.8352,0.8164,1
394,0.872,7,389642,0.7995,0.7281,0.1674,0.3647,0
395,0.6282,5,422553,0.5205,0.4788,0.3365,0.9111,1
396,0.093,8,324165,0.9386,0.2878,0.5434,0.0661,1
397,0.8048,4,148979,0.1788,0.2374,0.8817,0.4002,1
398,0.5002,6,101626,0.3408,0.1051,0.301,0.6363,1
399,0.232,10,485878,0.4772,0.1451,0.1877,0.6664,0
400,0.0978,8,237919,0.5147,0.797,0.1421,0.5544,0
401,0.4584,4,429056,0.0859,0.3086,0.5968,0.9365,1
402,0.5561,1,372604,0.8348,0.4606,0.5814,0.3395,1
403,0.8109,9,464180,0.4859,0.8492,0.3203,0.8149,0
404,0.3674,8,445187,0.6725,0.7485,0.2742,0.8009,1
405,0.627,9,240012,0.6043,0.4885,0.4486,0.8409,0
406,0.5403,9,282703,0.5438,0.0027,0.5368,0.0618,0
407,0.4207,1,313255,0.2319,0.1695,0.0069,0.7078,0
408,0.8777,10,464498,0.709,0.7863,0.7916,0.1078,1
409,0.0138,6,237668,0.2544,0.205,0.8488,0.8377,0
410,0.6229,6,291481,0.445,0.2544,0.1513,0.8678,1
411,0.0352,9,318250,0.7517,0.1854,0.4178,0.572,0
412,0.0624,9,274482,0.7598,0.4841,0.5629,0.9066,0
413,0.2366,4,290191,0.8788,0.3829,0.3128,0.9574,0
